Question,Equation,Answer,Numbers
There are number0 scissors in the drawer . Keith placed number1 more scissors in the drawer . How many scissors are now there in all ?,+ number0 number1,76.0,54.0 22.0
The town of Milburg has number0 grown - ups and number1 children . How many people live in Milburg ?,+ number0 number1,8243.0,5256.0 2987.0
"Sandy has number0 books , Benny has number1 books , and Tim has number2 books . How many books do they have together ?",+ + number0 number1 number2,67,10.0 24.0 33.0
maria took number0 fish out of her fish tank . now there are number1 fish in the tank . how many fish were in the tank to start with ?,+ number0 number1,19.0,16.0 3.0
"Will had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",/ - number0 number1 number2,3.0,59.0 32.0 9.0
Mary has number0 yellow marbles . Joan has number1 yellow marbles . How many yellow marbles do they have in all ?,+ number0 number1,12.0,9.0 3.0
"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?",* - number0 number2 number1,63.0,11.0 7.0 2.0
"Ruby has number0 candies and number1 bananas . If she shares the candies among number2 friends , how many candies does each friend get ?",/ number0 number2,4.0,36.0 6.0 9.0
maria had number0 pieces of gum . tommy gave her number1 more pieces . luis gave her number2 more pieces . how many pieces of gum does maria have now ?,+ + number0 number1 number2,61.0,25.0 16.0 20.0
number0 students split number1 portfolios of paintings . each student should get the same number of portfolios . how many portfolios of paintings will each of them get ?,/ number1 number0,8.1333333333,15.0 122.0
number0 bright sunny day betty decided to make bracelets from beautiful stones she bought from a local store . she bought number1 pink flower stones and wanted to make number2 bracelets out of these stones . how many pink flower stones will each bracelet have if she used the same number of stones in each bracelet ?,/ number1 number2,11.0,1.0 88.0 8.0
The Sumata family took a number0 day vacation by car . Each day they drove number1 miles . How many total miles did they drive ?,* number0 number1,1250.0,5.0 250.0
Elise had $ number0 . Then she saved $ number1 from her allowance and spent $ number2 on a comic book and $ number3 on a puzzle . How much money does Elise have left ?,- + number0 number1 + number2 number3,1.0,8.0 13.0 2.0 18.0
a chef used number0 apples to make a pie . now he has number1 apples left . how many apples did he have before he made the pie ?,+ number0 number1,19.0,15.0 4.0
"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in , how many worksheets would she have to grade ?",- + number0 number2 number1,63.0,34.0 7.0 36.0
Omar and Karen made egg rolls to share at the school potluck . Omar rolled number0 egg rolls . Karen rolled number1 egg rolls . What is the total number of egg rolls Omar and Karen rolled ?,+ number0 number1,448.0,219.0 229.0
number0 people visited the statue of liberty in the morning . number1 more people visited in the afternoon than in the morning . how many people visited the statue of liberty in the afternoon ?,+ number0 number1,91.0,35.0 56.0
"If number0 lollipops cost number1 dollars , how much does number2 lollipop cost , in dollars ?",/ number1 number0,0.75,120.0 90.0 1.0
"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",* - number0 number1 number2,6.0,7.0 5.0 3.0
"Adam earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them , how much money did he actually earn ?",* - number1 number2 number0,36.0,9.0 12.0 8.0
jerry had $ number0 . he spent $ number1 on new video games . how much money does he have now ?,- number0 number1,12.0,18.0 6.0
"I have number0 pencils . If I put number1 pencils in each pencil box , how many pencil boxes will I fill ?",/ number0 number1,162.0,648.0 4.0
Sarah 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters how many loads would she have to do ?,/ + number1 number2 number0,9.0,5.0 43.0 2.0
"Joan bought toy cars for $ number0 , a skateboard for $ number1 , and got toy trucks for $ number2 . She spent $ number3 on pants . In total , how much did Joan spend on toys ?",+ + number0 number1 number2,25.62,14.88 4.88 5.86 14.55
peter wants to split a collection of pencils into groups of number0 peter has number1 pencils . how many groups will be created ?,/ number1 number0,14.0,11.0 154.0
Jesse starts with number0 pencils . He gives number1 to Joshua . How many pencils does Jesse end with ?,- number0 number1,34.0,78.0 44.0
"Mary went to the mall . She spent $ number0 on a shirt and $ number1 on a jacket . She went to number2 shops . In total , how much money did Mary spend on clothing ?",+ number0 number1,25.31,13.04 12.27 2.0
ned was helping the cafeteria workers pick up lunch trays but he could only carry number0 trays at a time . if he had to pick up number1 trays from number2 table and number3 trays from another how many trips will he make ?,/ + number1 number3 number0,4.0,8.0 27.0 1.0 5.0
for finishing touches he needed number0 gallons of paint . if he bought number1 gallons to add to his existing number2 gallons of paint how much more paint will he need ?,- - number0 number1 number2,11.0,70.0 23.0 36.0
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,/ number0 number1,4.0,28.0 7.0
while shopping maria bought number0 green towels and number1 white towels . if she gave her mother number2 of them how many towels did maria end up with ?,- + number0 number1 number2,22.0,35.0 21.0 34.0
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* - number0 number1 number2,12.0,9.0 3.0 2.0
mrs. hilt had number0 cents . she bought a pencil for number1 cents and a piece of candy for number2 cents . how much money did she have left ?,- - number0 number1 number2,18.0,43.0 20.0 5.0
There are number0 flowers and number1 bees . How many fewer bees are there than flowers ?,- number0 number1,2.0,5.0 3.0
"Jason went to number0 football games this month . He went to number1 games last month , and plans to go to number2 games next month . How many games will he attend in all ?",+ + number0 number1 number2,44.0,11.0 17.0 16.0
Sean has number0 whistles . Sean has number1 more whistles than Charles . How many whistles does Charles have ?,- number0 number1,128.0,223.0 95.0
"Marta picked number0 pumpkins . The first pumpkin weighed number1 pounds , and the second pumpkin weighed number2 pounds . How much did the number3 pumpkins weigh all together ?",+ number1 number2,12.7,2.0 4.0 8.7 2.0
willy has number0 crayons . lucy has number1 crayons . how many more crayons does willy have then lucy ?,- number0 number1,1110.0,1400.0 290.0
Mark sprinted number0 miles at number1 miles per hour . How long did Mark sprint ?,/ number0 number1,4.0,24.0 6.0
a pet store had number0 white cats number1 black cats and number2 gray cats . how many cats did they have total ?,+ + number0 number1 number2,15.0,2.0 10.0 3.0
the path opened to a beautiful garden enclosed by a wall . the exit door will open when the number of white flowers is the same as the number of red flowers . if there are number0 white flowers and number1 red flowers how many more red flowers are needed ?,- number0 number1,208.0,555.0 347.0
Megan had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Megan end up with ?,/ - number0 number1 number2,9.0,93.0 21.0 8.0
"Carson ’ s teacher gives out gold stars for great math work . Yesterday , Carson earned number0 gold stars . Today , he earned number1 more . How many gold stars did Carson earn in all ?",+ number0 number1,15.0,6.0 9.0
uncle dave bought number0 ice cream sandwiches . if he wants to give them to his number1 hungry nieces how many can each niece get ?,/ number0 number1,13.0,143.0 11.0
"Eric has number0 erasers . If he shares them among number1 friends , how many erasers does each friend get ?",/ number0 number1,94.0,9306.0 99.0
mr. peter harvested some pears . he picked number0 kg of the pears into a bag and number1 kg of the pears into another bag . if there were still number2 kg of pears left unpacked how many kilograms of pears did mr. peter harvest ?,+ + number0 number1 number2,93.0,43.0 35.0 15.0
there is a snail problem in centerville . people work together to get rid number0 snails but number1 of them remain . about how many snails were originally in centerville ?,+ number0 number1,11760.0,3482.0 8278.0
"Zoe and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Zoe recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",/ + number1 number2 number0,6.0,8.0 25.0 23.0
todd has some gum . steve gave him number0 more pieces of gum . now todd has number1 pieces of gum . how many pieces did todd have to start with ?,- number1 number0,38.0,16.0 54.0
there were number0 dollars in olivia 's wallet . after she visited a supermarket there were number1 dollars left . how much did she spend ?,- number0 number1,16.0,94.0 78.0
iesha has number0 books . number1 are about school and the rest are about sports . how many books about sports does iesha have ?,- number0 number1,208.0,344.0 136.0
after sam and bob left mary john and sue decided to go home as well . they counted the total amount of treats that the number0 of them got . they were able to sort out number1 chewing gums number2 chocolate bars and another number3 candies of different flavors . how many treats did mary john and sue have in total ?,+ + number1 number2 number3,155.0,3.0 60.0 55.0 40.0
Molly had number0 candles on her birthday cake . She grew older and got number1 more on her birthday cake . How old is Molly now ?,+ number0 number1,20.0,14.0 6.0
A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,- + number0 number2 number1,60.0,31.0 9.0 38.0
Robin has number0 packages of gum . There are number1 pieces in each package . How many pieces of gum does Robin have ?,* number0 number1,135.0,9.0 15.0
Arthur removes number0 pencils from a jar . There were originally number1 pencils in the jar . How many pencils are left in the jar ?,- number1 number0,83.0,4.0 87.0
"Roger had number0 dollars . If he spent number1 bucks on a new game , how many number2 dollar toys could he buy with the money he had left ?",/ - number0 number1 number2,3.0,68.0 47.0 7.0
olivia picked up number0 pieces of paper from the floor . if edward picked up number1 pieces how many did they pick up total ?,+ number0 number1,19.0,16.0 3.0
Each bottle cap costs $ number0 . How much do number1 bottle caps cost ?,* number0 number1,12.0,2.0 6.0
a chef had number0 apples . if he used number1 of them to make a pie how many apples would he still have ?,- number0 number1,6.0,14.0 8.0
A restaurant served number0 cakes during lunch and number1 during dinner today . How many cakes were served today ?,+ number0 number1,15.0,6.0 9.0
upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2 how many cookies were eaten in total ?,+ + number0 number1 number2,30.0,15.0 10.0 5.0
number0 birds are sitting on a branch . number1 flies away . how many birds are left on the branch ?,- number0 number1,3.0,4.0 1.0
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",* + number1 number2 number0,90.0,9.0 7.0 3.0
allen shiela 's brother likes to play with blocks . shiela repainted allen 's old blocks in different colors . if allen has number0 identical blocks and there are number1 blocks for every color of paint used how many colors did shiela use ?,/ number0 number1,7.0,49.0 7.0
Lana was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Lana have total ?,* + number1 number2 number0,32.0,4.0 2.0 6.0
ned mowed his lawn number0 times in the spring and number1 times in the summer . how many times did he mow total ?,+ number0 number1,11.0,6.0 5.0
kate maggie and sue added up their ages . the total was number0 kate is number1 and maggie is number2 how old is sue ?,- - number0 number1 number2,12.0,48.0 19.0 17.0
If Anne wandered for number0 hours at number1 miles per hour . How far did Anne go ?,* number0 number1,6.0,3.0 2.0
at the arcade jerry won number0 tickets playing 'whack a mole ' and number1 tickets playing 'skee ball ' . if he spent number2 of his tickets on a hat how many tickets does jerry have left ?,- + number0 number1 number2,34.0,29.0 17.0 12.0
jennifer has an number0 cm long ribbon . she uses number1 cm of the ribbon to tie a present for her friend and number2 cm of the ribbon to make a bow . how much of the ribbon is left in the end ?,- - number0 number1 number2,18.0,87.0 24.0 45.0
the capacity of a tank is number0 gallons . if a company bought number1 gallons of oil how many tanks are needed to hold all the oil ?,/ number1 number0,22.75,32.0 728.0
erin and dana finished a number0 day bike-a-thon . they rode number1 miles the first day the rode number2 miles the second day . how many miles did they ride altogether ?,+ number1 number2,92.0,2.0 37.0 55.0
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,- + number0 number1 number1,35.0,35.0 10.0 10.0
"Ned had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",- + number0 number1 number2,1.0,9.0 21.0 29.0
"Cody bought number0 boxes of chocolate candy and number1 boxes of caramel candy . If each box has number2 pieces inside it , how much candy did he have total ?",* + number0 number1 number2,80.0,7.0 3.0 8.0
both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop . how many chickens do they have in total ?,* number0 number1,540.0,9.0 60.0 1.0
There are number0 rulers in the drawer . Tim took number1 rulers from the drawer . How many rulers are now in the drawer ?,- number0 number1,21.0,46.0 25.0
there are number0 books on a shelf . number1 of them are history books number2 of them are geography books and the rest are math books . how many math books are there on the shelf ?,- - number0 number1 number2,43.0,100.0 32.0 25.0
annette and caitlin weigh number0 pounds together . caitlin and sara weigh number1 pounds together . how much more does annette weigh than sara ?,- number0 number1,8.0,95.0 87.0
katie spent a total $ number0 on her whole stay in the island . if she spent $ number1 on food and $ number2 on hotel rooms how much did she spend on buying other stuff ?,- number0 + number1 number2,90.0,350.0 125.0 135.0
"On Wednesday , Joan spent number0 half - dollars playing pinball . The next day , she spent number1 half - dollars on pinball . What was the total amount Joan spent playing pinball ?",+ * number0 0.5 * number1 0.5,9.0,4.0 14.0
edward earned number0 dollars for every lawn he mowed . if he mowed number1 lawns and he already had number2 dollars saved up how much money does he have total ?,+ * number0 number1 number2,47.0,8.0 5.0 7.0
There are number0 erasers and number1 scissors in the drawer . Jason placed number2 erasers in the drawer . How many erasers are now there in total ?,+ number0 number2,270,139.0 118.0 131.0
"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back , how many students did n't make the cut ?",- + number0 number1 number2,39.0,17.0 32.0 10.0
Deborah is inviting number0 friends to a party . She has number1 cookies . How many cookies will each friend get ?,/ number1 number0,8.0,10.0 80.0
I walk number0 mile every number1 minutes . I walked number2 miles . How many minutes did it take me ?,* number1 number2,45.0,1.0 15.0 3.0
tommy has $ number0 . he wants to buy a $ number1 camera . he also wants to buy a $ number2 cd player . how much more money does tommy need ?,- + number1 number2 number0,15.0,79.0 35.0 59.0
Edward and his friend were buying trick decks from the magic shop for number0 dollars each . How much did they spend if Edward bought number1 decks and his friend bought number2 decks ?,* + number1 number2 number0,72.0,9.0 4.0 4.0
a company was offering a special on cell phones for $ number0 each . but only if you spent number1 dollars a month for number2 months . how much would it end up costing you total if you bought number3 phone ?,+ * number1 number2 number0,30.0,2.0 7.0 4.0 1.0
christian 's father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks . if every sack can contain around number0 pieces of wood how many sacks were they able to fill if they gathered number1 pieces of wood ?,/ number1 number0,4.0,20.0 80.0
john had number0 socks . if he threw away number1 old number2 that did n't fit and bought number3 new number4 how many socks would he have ?,+ - number0 number1 number3,27.0,33.0 19.0 1.0 13.0 1.0
A chocolate chip cookie recipe calls for number0 cups of chocolate chips . You want to make number1 recipes for a bake sale . How many cups of chocolate chips will be needed to make all the cookie recipes ?,* number0 number1,46.0,2.0 23.0
tom had number0 pieces of clothing to wash. he put number1 of them in number2 load but decided to split the rest into number3 equal loads . how many pieces of clothing could go in each of the small loads ?,/ - number0 number1 number3,9.0,36.0 18.0 1.0 2.0
gwen prepared number0 books to sell in the flea market . after the activity ended she had number1 books left . how many did she sell ?,- number0 number1,2.0,98.0 96.0
for the school bake sale amy made pastries . she baked number0 cupcakes and number1 cookies . after the sale she had number2 to take back home . how many pastries did she sell ?,- + number0 number1 number2,51.0,15.0 48.0 12.0
"Rachel was playing a video game where she scores number0 points for each treasure she finds . If she found number1 treasures on the first level and number2 on the second , what would her score be ?",* + number1 number2 number0,63.0,9.0 5.0 2.0
vincent has learned the words to number0 songs . he learned number1 more songs at summer camp . how many songs does vincent know now ?,+ number0 number1,74.0,56.0 18.0
There are number0 pencils and number1 crayons in the drawer . Joan placed number2 pencils in the drawer . How many pencils are now there in total ?,+ number0 number2,60,33.0 44.0 27.0
it is number0 miles to grandma 's house . mr. welch drove number1 miles . he stopped to buy a pie for dessert . then he drove number2 miles and stopped to put gas in the car . how many more miles until he reaches grandma 's house ?,- - number0 number1 number2,25.0,78.0 35.0 18.0
because of an upcoming exam robyn will not be able to sell cookies on tuesday . to make up for it lucy decided to do double the work to catch up . she sold number0 cookies on her first round and number1 on her second round . how many cookies were sold by lucy ?,+ number0 number1,61.0,34.0 27.0
next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture number0 species of butterflies number1 species of ants and number2 species of other insects . how many species of insects did penny capture ?,+ + number0 number1 number2,95.0,60.0 15.0 20.0
"George had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones , how many socks would he have ?",- + number0 number2 number1,60.0,28.0 4.0 36.0
"Sam invited number0 friends to a birthday party , but number1 could n't come . If he wanted to buy enough cupcakes so each person could have exactly number2 , how many should he buy ?",* - number0 number1 number2,6.0,9.0 6.0 2.0
"Amy had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?",- + number0 number1 number2,2.0,4.0 21.0 23.0
"Will had number0 dollars . If he spent number1 bucks on a new game , how many number2 dollar toys could he buy with the money he had left ?",/ - number0 number1 number2,9.0,83.0 47.0 4.0
Elizabeth is inviting number0 friends to a party . She has number1 cookies . How many cookies will each friend get ?,/ number0 number1,1.0,5.0 5.0
it takes number0 feet of cotton to make a tee-shirt . how many tee-shirts can be made with number1 feet of material ?,/ number1 number0,15.0,4.0 60.0
lisa invited the entire third grade to her party . there are number0 students altogether . number1 of the students are boys and number2 are girls . number3 students will not be able to go to the party . how many students will be there ?,- number0 number3,39.0,48.0 23.0 25.0 9.0
ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground . how many more marble did ed have than doug then ?,+ number0 number1,30.0,22.0 8.0
a pet store had number0 kittens . if they got another number1 kittens how many would they have total ?,+ number0 number1,9.0,6.0 3.0
a fast food restaurant sold number0 small hotdogs and number1 large hotdogs . how many hotdogs did they sell total ?,+ number0 number1,79.0,58.0 21.0
there are number0 boys and some girls on the playground . there are number1 children altogether . how many girls are on the playground ?,- number1 number0,77.0,40.0 117.0
Isabel bought number0 pieces of paper . She used number1 pieces of the paper . How many pieces of paper does she have left ?,- number0 number1,744.0,900.0 156.0
at the store beef jerky was $ number0 for number1 pounds . if you bought number2 pounds how much would it cost ?,* / number0 number1 number2,79.87,34.23 3.0 7.0
Sally saw number0 dozen birds in a tree . How many birds did Sally see ?,* number0 12.0,12.0,1.0
"Mike made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week , how long would the money last him ?",/ + number0 number1 number2,8.0,14.0 26.0 5.0
"Dan spent $ number0 on a snake toy , and a cage cost him $ number1 . Dan also found a dollar bill on the ground . What was the total cost of Dan 's purchases ?",+ number0 number1,26.3,11.76 14.54
George has number0 boxes of eggs . Each box holds number1 eggs and there are number2 boxes in a case . How many eggs does George have ?,* number0 number1,15.0,5.0 3.0 9.0
an airline lets each passenger take number0 pieces of luggage . if there were number1 people flying how many bags could they take ?,* number0 number1,32.0,8.0 4.0
There are number0 squirrels in a tree with number1 nuts . How many more squirrels are there than nuts ?,- number0 number1,2.0,4.0 2.0
Juan ran number0 miles at number1 miles per hour . How long did Juan run ?,/ number0 number1,8.0,80.0 10.0
"Clarence has number0 oranges . He gets number1 more from Joyce . Later , Clarence buys number2 Skittles at the store . How many oranges does Clarence have in all ?",+ number0 number1,8.0,5.0 3.0 9.0
it 's new year 's eve . benjamin and his family went to new york city to take part in the celebration that is going to take place later that night . before the evening celebrations benjamin wanted to see some of the famous places in nyc first . from the hotel he walked number0 steps to the nearest restaurant then another number1 steps to central park . how many steps did he take to get to central park from the hotel ?,+ number0 number1,612.0,234.0 378.0
There are number0 short bushes and number1 tall trees currently in the park . Park workers will plant number2 short bushes today . How many short bushes will the park have when the workers are finished ?,+ number0 number2,57,37.0 30.0 20.0
"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in , how many worksheets would she have to grade ?",- + number0 number2 number1,51.0,7.0 2.0 46.0
"Tiffany uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",/ + number0 number1 number2,4.0,7.0 13.0 5.0
bobby ate number0 pieces of candy . then he ate number1 more . how many pieces of candy did bobby eat ?,+ number0 number1,43.0,26.0 17.0
a mailman has to give out number0 pieces of junk mail . if he goes to number1 blocks how many pieces of junk mail should he give each block ?,/ number0 number1,48.0,192.0 4.0
bianca was practicing for a marathon . to prepare she ran number0 miles the first day and number1 miles the next day . how many miles did bianca run altogether ?,+ number0 number1,12.0,8.0 4.0
before lunch a waitress had already earned $ number0 in tips . after lunch she had number1 customers and each customer gave her a number2 dollar tip . how much money did she earn total ?,+ * number1 number2 number0,19.0,5.0 7.0 2.0
"A dust storm sweeps across the prairie . It covers number0 acres of the prairie in dust , but leaves number1 acres untouched . How many acres does the prairie cover ?",+ number0 number1,65057.0,64535.0 522.0
Mrs. Sheridan has number0 cats . How many more cats does Mrs. Sheridan need to have number1 cats ?,- number1 number0,32.0,11.0 43.0
if number0 round costs $ number1 how many rounds of golf can you play with $ number2 ?,/ number2 number1,5.0,1.0 80.0 400.0
Sam had number0 dimes in his bank . His dad gave him number1 dimes . How many dimes does Sam have now ?,+ number0 number1,16,9.0 7.0
"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?",- + number0 number1 number2,40.0,42.0 7.0 9.0
she then went to number0 orphanages and donated a total of $ number1 . if she gave $ number2 to the first orphanage and $ number3 to the third how much did she donate to the second orphanage ?,- number1 + number2 number3,225.0,3.0 650.0 175.0 250.0
helen the hippo and her friends are preparing for thanksgiving at helen 's house . helen baked number0 chocolate chip cookies yesterday and number1 cookies this morning . how many cookies did helen bake ?,+ number0 number1,574.0,435.0 139.0
number0 birds were sitting in a tree . Some more fly up to the tree . Then there were number1 birds in the tree . How many more flew up to the tree ?,- number1 number0,13.0,29.0 42.0
There are number0 candies in a pile on the desk . Each candy comes in a package of number1 . number2 candies are added to the pile . How many candies are there in the pile ?,+ number0 number2,10.0,6.0 15.0 4.0
"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers . How many salmon made the trip ?",+ number0 number1,971639.0,712261.0 259378.0
Alec and his roommates ate number0 pints of ice cream on Friday night and number1 pint of ice cream on Saturday night . How many pints did they eat in all ?,+ number0 number1,3.5,3.25 0.25
mrs. hilt had number0 cents . she bought a pencil for number1 cents . how much money did she have left ?,- number0 number1,4.0,15.0 11.0
Sandy 's dog had number0 puppies and number1 had spots . She gave number2 to her friends . How many puppies does she now have ?,- number0 number1,4,8.0 4.0 4.0
"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group , how many groups would there be ?",/ + number0 number1 number2,2.0,4.0 6.0 5.0
"Mike joined his school 's band . He bought a trumpet for $ number0 , and a song book which was $ number1 . How much did Mike spend at the music store ?",+ number0 number1,151.0,145.16 5.84
on the last day of school only number0 students showed up . if number1 of them were checked out early how many students were left ?,- number0 number1,9.0,16.0 7.0
Students went to a concert in number0 buses . Each bus took number1 students . How many students went to the concert ?,* number0 number1,360.0,8.0 45.0
"Tommy had some balloons . His mom gave him number0 more balloons for his birthday . Then , Tommy had number1 balloons . How many balloons did Tommy have to start with ?",- number1 number0,26.0,34.0 60.0
Connie has number0 marbles . Juan has number1 more marbles than Connie . How many marbles does Juan have ?,+ number0 number1,498.0,323.0 175.0
Seth bought number0 cartons of ice cream and number1 cartons of yogurt . Each carton of ice cream cost $ number2 and each carton of yogurt cost $ number3 . How much more did Seth spend on ice cream than on yogurt ?,- * number0 number2 * number1 number3,118.0,20.0 2.0 6.0 1.0
"Nancy , Melanie , Mary , and Alyssa each bought number0 baseball cards , which come in packs of number1 . How many packs of baseball cards do they have in all ?",/ * number0 4.0 number1,108.0,540.0 20.0
"If Charles strolled number0 miles at number1 miles per hour , how long was Charles travelling ?",/ number0 number1,2.0,6.0 3.0
John needs $ number0 . He has $ number1 . How much more money does he need ?,- number0 number1,1.75,2.5 0.75
corey earns extra money finding lost golf balls . his goal is to find number0 golfballs every weekend . he found number1 golf balls on saturday . he found number2 more golf balls on sunday . how many more golf balls does corey need to find to reach his goal ?,- - number0 number1 number2,14.0,48.0 16.0 18.0
adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks . how many did he have to add ?,- number1 number0,30.0,35.0 65.0
"Bianca 's team won their dodgeball game and scored number0 points total . If Bianca scored number1 of the points and everyone else scored number2 points each , how many players were on her team ?",/ - number0 number1 number2,5.0,75.0 45.0 6.0
"Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",* + number0 number1 number2,42.0,4.0 3.0 6.0
"number0 people are going to the zoo , and there are number1 buses to take people . How many will go in each bus if the same number go in each one and all of the people go to the zoo ?",/ number0 number1,73.0,219.0 3.0
"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",* - number1 number2 number0,28.0,7.0 13.0 9.0
A cereal box holds number0 cups of cereal . Each serving is number1 cups . How many servings are in the whole box ?,/ number0 number1,9.0,18.0 2.0
A number0 ounce can of cranberry juice sells for number1 cents . Give the unit cost in cents per ounce .,/ number1 number0,7.0,12.0 84.0
winnie completed number0 consecutive repetitions for rope jumping yesterday . today she completed only number1 . how many repetitions did she fell behind ?,- number0 number1,13.0,86.0 73.0
kim sold number0 boxes of girl scout cookies . jennifer sold number1 more boxes than kim . how many boxes of cookies did jennifer sell ?,+ number0 number1,71.0,54.0 17.0
still a little behind robyn asked her mother to drive them around town on wednesday to cover more houses . that day robyn sold number0 packs of cookies while lucy sold number1 how many packs were they able to sell that day ?,+ number0 number1,98.0,55.0 43.0
next on her list are the homeless people where she spent a total of $ number0 . if she gave $ number1 to the first set of homeless families and $ number2 to the second set of families how much did she give to the last set of homeless families ?,- number0 + number1 number2,315.0,900.0 325.0 260.0
a tourist group has number0 people . at a hotel they want to rent some large rooms for number1 people each and some small rooms for number2 each . in order to rent the least number of rooms and have every room fully occupied how many large rooms should be rented ?,/ number0 number1,8.6666666667,26.0 3.0 2.0
miki bought number0 packs of red bouncy balls and number1 packs of yellow bouncy balls . each package contained number2 bouncy balls . how many more packs of red bouncy balls than yellow bouncy balls did miki buy ?,- number0 number1,1.0,4.0 3.0 7.0
"In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them , how many points would you earn ?",* - number1 number2 number0,40.0,8.0 7.0 2.0
"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?",* + number1 number2 number0,40.0,4.0 8.0 2.0
zoe bought an app that cost $ number0 dollars . then each month you have to pay $ number1 to play online . if she played the game online for number2 months how much money would she have spent total for the app and the online access ?,+ * number1 number2 number0,21.0,5.0 8.0 2.0
when maria got to the fair she had $ number0 . when she left she had $ number1 . what 's the difference between the number of dollars when maria got and left the fair ?,- number0 number1,71.0,87.0 16.0
"If Benjamin strolled number0 miles at number1 miles per hour , how long was Benjamin travelling ?",/ number0 number1,7.0,14.0 2.0
Neale makes number0 dollars per hour . He worked number1 hours and recieved number2 dollars in tips what is his salary ?,+ * number0 number1 number2,168.25,5.6 22.5 42.25
Gloria has number0 boxes of tickets . Each box holds number1 tickets and there are number2 boxes in a case . How many tickets does Gloria have ?,* number0 number1,45.0,9.0 5.0 10.0
number0 red plums and number1 green plums are in the basket . how many plums are in the basket ?,+ number0 number1,18.0,14.0 4.0
A truck carrying number0 pounds of sand travels to a construction yard and loses number1 pounds of sand along the way . How much sand does the truck have when it arrives at the yard ?,- number0 number1,1.7,4.1 2.4
"For Halloween Katie and her sister combined the candy they received . Katie had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night , how many pieces do they have left ?",- + number0 number1 number2,7.0,10.0 6.0 9.0
"Hoping to be named Salesperson of the Month , Rosa called the names from number0 pages of the phone book last week . This week , she called the people listed on another number1 pages of the same phone book . How many pages worth of people did Rosa call in all ?",+ number0 number1,18.8,10.2 8.6
Jason had number0 quarters in his bank . His dad gave him number1 more quarters . How many quarters does he have now ?,+ number0 number1,74.0,49.0 25.0
the teacher gave number0 pencils to number1 students equally . how many pencils did each student get ?,/ number0 number1,3.5,42.0 12.0
